fila,columna,perro,alarma,valor
4,17,1,0,3793
4,18,0,0,577
4,19,0,0,2547
5,0,0,1,3550
5,1,0,0,2381
5,2,0,0,3170
5,3,1,0,1487
5,4,0,0,336
5,5,0,0,1364
5,6,1,0,3536
5,7,0,0,1268
5,8,0,0,2333
5,9,0,1,2542
5,10,0,0,4365
5,11,0,0,1408
5,12,0,0,3602
5,13,0,0,3144
5,14,0,0,1837
5,15,0,0,4052
5,16,1,0,3300
5,17,0,0,2441
5,18,0,0,2846
5,19,0,0,3682
6,0,1,0,649
6,1,1,0,2525
6,2,0,0,895
6,3,1,0,1142
6,4,0,1,3667
6,5,0,0,4229
6,6,0,1,3710
6,7,0,0,3889
6,8,0,0,1246
6,9,0,0,3923
6,10,1,0,2647
6,11,0,0,1111
6,12,0,0,75
6,13,0,0,4931
6,14,0,1,2846
6,15,0,0,2119
6,16,0,0,4643
6,17,0,0,3133
6,18,0,0,4754
6,19,0,1,190
7,0,0,0,2875
7,1,0,0,1444
7,2,0,0,381
7,3,0,0,1536
7,4,0,0,2370
7,5,0,1,519
7,6,0,1,1574
7,7,0,0,4842
7,8,0,0,2708
7,9,0,0,833
7,10,0,0,4758
7,11,0,0,799
7,12,0,0,919
7,13,0,0,2006
7,14,0,0,3116
7,15,1,0,3886
7,16,0,0,3353
7,17,0,0,4840
7,18,1,0,1506
7,19,0,0,3763
8,0,0,0,2000
8,1,0,0,1024
8,2,1,0,3365
8,3,0,1,2171
8,4,1,0,61
8,5,1,0,4790
8,6,1,0,3402
8,7,0,1,1256
8,8,0,0,4048
8,9,0,0,2129
8,10,1,0,4039
8,11,1,0,3165
8,12,0,0,2130
8,13,0,0,558
8,14,0,1,4854
8,15,0,0,2182
8,16,0,0,1619
8,17,0,0,4611
8,18,0,0,2724
8,19,1,0,2001
9,0,0,0,249
9,1,0,0,3886
9,2,0,1,2559
9,3,0,0,4363
9,4,1,0,1120
9,5,0,0,3705
9,6,1,0,1752
9,7,1,0,2127
9,8,1,0,2781
9,9,0,0,4876
9,10,0,0,3706
9,11,0,0,4079
9,12,0,0,2115
9,13,0,1,995
9,14,0,0,4285
9,15,0,1,3980
9,16,0,0,1687
9,17,1,0,1621
9,18,0,0,3576
9,19,0,0,1618
10,0,0,1,102
10,1,1,0,1249
10,2,0,0,453
10,3,0,0,3905
10,4,0,0,962
10,5,0,0,3110
10,6,0,0,3333
10,7,1,0,1762
10,8,0,0,4186
10,9,0,0,3033
10,10,0,1,3924
10,11,1,0,3059
10,12,1,0,1269
10,13,1,0,4879
10,14,0,1,3465
10,15,0,0,4483
10,16,0,0,1966
10,17,0,0,3524
10,18,1,0,4355
10,19,0,0,4340
11,0,0,1,2012
11,1,0,1,4123
11,2,1,0,3901
11,3,0,1,2211
11,4,0,1,4235
11,5,0,0,3598
11,6,0,0,4494
11,7,0,0,4846
11,8,0,0,2733
11,9,0,0,4283
11,10,1,0,171
11,11,0,1,242
11,12,0,1,1774
11,13,0,0,2313
11,14,0,1,3629
11,15,1,0,428
11,16,0,0,4076
11,17,0,0,3745
11,18,0,0,1236
11,19,0,0,1954
12,0,0,0,3719
12,1,0,0,2933
12,2,0,1,3309
12,3,0,0,4917
12,4,1,0,3490
12,5,0,0,3020
12,6,0,0,1575
12,7,1,0,2391
12,8,0,0,612
12,9,0,0,1758
12,10,0,0,2186
12,11,0,0,4011
12,12,0,0,4775
12,13,0,0,3929
12,14,0,0,3531
12,15,0,0,1751
12,16,0,0,659
12,17,0,0,3205
12,18,0,0,4826
12,19,0,0,4218
13,0,1,0,3792
13,1,1,0,3132
13,2,0,0,3249
13,3,0,0,2048
13,4,1,0,3577
13,5,0,0,4588
13,6,0,0,4676
13,7,0,0,2006
13,8,0,1,902
13,9,0,1,1977
13,10,1,0,3374
13,11,0,0,3476
13,12,1,0,1234
13,13,0,1,771
13,14,0,0,1584
13,15,0,0,3705
13,16,0,0,1332
13,17,0,0,4003
13,18,1,0,913
13,19,1,0,810
14,0,0,0,1748
14,1,1,0,4183
14,2,0,0,1814
14,3,0,0,241
14,4,0,0,763
14,5,1,0,3200
14,6,0,0,892
14,7,0,0,2279
14,8,0,0,3779
14,9,0,0,3053
14,10,0,0,2322
14,11,0,1,1782
14,12,0,0,2814
14,13,0,1,3174
14,14,0,0,4910
14,15,0,0,2502
14,16,1,0,2979
14,17,0,0,513
14,18,0,0,4868
14,19,0,0,4520
15,0,0,1,3834
15,1,1,0,1359
15,2,0,0,861
15,3,0,0,4225
15,4,0,0,1249
15,5,0,0,4195
15,6,0,0,1516
15,7,0,0,423
15,8,0,0,2983
15,9,0,0,1320
15,10,0,0,4223
15,11,0,1,1065
15,12,1,0,1477
15,13,0,0,1340
15,14,0,0,1058
15,15,0,0,3468
15,16,0,0,3332
15,17,0,0,2206
15,18,0,0,381
15,19,0,0,3965
16,0,0,0,392
16,1,0,1,3771
16,2,0,0,2245
16,3,1,0,494
16,4,0,0,3571
16,5,0,0,653
16,6,1,0,2706
16,7,0,1,4450
16,8,0,0,1728
16,9,0,1,3904
16,10,0,0,1886
16,11,0,0,77
16,12,0,1,534
16,13,0,0,1685
16,14,1,0,774
16,15,0,0,2335
16,16,0,0,2969
16,17,0,0,2290
16,18,0,0,2323
16,19,0,0,1793
17,0,0,0,868
17,1,0,0,1877
17,2,1,0,420
17,3,0,0,3888
17,4,0,0,4870
17,5,0,0,4374
17,6,0,0,1365
17,7,0,0,1152
17,8,0,0,4116
17,9,1,0,1422
17,10,0,0,488
17,11,0,0,308
17,12,0,1,143
17,13,0,0,428
17,14,1,0,1150
17,15,0,0,191
17,16,1,0,752
17,17,0,0,1250
17,18,0,0,984
17,19,0,0,1355
18,0,0,0,634
18,1,0,0,1412
18,2,0,0,4613
18,3,0,0,3421
18,4,0,0,1868
18,5,0,1,4046
18,6,0,0,2425
18,7,0,0,4954
18,8,0,0,1532
18,9,0,0,3956
18,10,1,0,581
18,11,0,0,1152
18,12,1,0,1799
18,13,0,0,3958
18,14,0,0,3691
18,15,0,0,2436
18,16,0,1,1092
18,17,1,0,4222
18,18,0,0,447
18,19,0,0,3359
19,0,0,0,801
19,1,0,1,3292
19,2,0,0,1479
19,3,0,0,1729
19,4,0,0,1603
19,5,0,0,1183
19,6,0,0,1219
19,7,1,0,1089
19,8,0,0,4706
19,9,0,0,2510
19,10,0,0,2482
19,11,0,0,4686
19,12,0,1,3206
19,13,1,0,3844
19,14,0,0,1395
19,15,0,0,4404
19,16,1,0,4798
19,17,0,0,3490
19,18,1,0,1520
19,19,0,0,380
